space,layer,held_out,detector,indist_auc,ood_auc,auc_drop
rawpca,2,aegis-2.0,linear_probe,0.7671392339544513,0.5508441558441558,0.21629507811029547
rawpca,2,aegis-2.0,plain_voronoi,0.6759518633540372,0.5018181818181818,0.1741336815358554
rawpca,2,aegis-2.0,lda,0.765484989648033,0.5415584415584416,0.22392654808959145
rawpca,2,aegis-2.0,qda,0.7900962732919254,0.5867532467532468,0.20334302653867864
rawpca,2,aegis-2.0,power_single,0.6759518633540372,0.5018181818181818,0.1741336815358554
rawpca,2,aegis-2.0,power_multi,0.6745424430641822,0.5747402597402598,0.09980218332392243
rawpca,2,toxic-chat,linear_probe,0.7311422999565123,0.655704589528119,0.0754377104283932
rawpca,2,toxic-chat,plain_voronoi,0.6253969952707111,0.7388897866839044,-0.11349279141319324
rawpca,2,toxic-chat,lda,0.7320881577516851,0.6524725274725275,0.07961563027915763
rawpca,2,toxic-chat,qda,0.7735402737008045,0.6699660633484164,0.10357421035238812
rawpca,2,toxic-chat,power_single,0.6253969952707111,0.7388897866839044,-0.11349279141319324
rawpca,2,toxic-chat,power_multi,0.6870396417699499,0.609486102133161,0.0775535396367889
rawpca,2,wildjailbreak,linear_probe,0.78603745777458,0.638538037166086,0.14749942060849397
rawpca,2,wildjailbreak,plain_voronoi,0.7184152467767317,0.5876524390243901,0.13076280775234161
rawpca,2,wildjailbreak,lda,0.7813265462931966,0.6444904181184669,0.1368361281747298
rawpca,2,wildjailbreak,qda,0.7650612668162102,0.6448533681765389,0.1202078986396713
rawpca,2,wildjailbreak,power_single,0.7184152467767317,0.5876524390243901,0.13076280775234161
rawpca,2,wildjailbreak,power_multi,0.6437079607152203,0.6437645180023228,-5.655728710252106e-05
rawpca,4,aegis-2.0,linear_probe,0.7788742236024845,0.497987012987013,0.2808872106154715
rawpca,4,aegis-2.0,plain_voronoi,0.6984120082815733,0.4477922077922078,0.25061980048936555
rawpca,4,aegis-2.0,lda,0.7800269151138718,0.4948051948051948,0.285221720308677
rawpca,4,aegis-2.0,qda,0.8204974120082816,0.49123376623376624,0.3292636457745154
rawpca,4,aegis-2.0,power_single,0.6984120082815733,0.4477922077922078,0.25061980048936555
rawpca,4,aegis-2.0,power_multi,0.6666180124223601,0.5741558441558442,0.09246216826651588
rawpca,4,toxic-chat,linear_probe,0.7620780332681016,0.6129605688429217,0.14911746442517992
rawpca,4,toxic-chat,plain_voronoi,0.6730138345292456,0.7082659987071751,-0.035252164177929535
rawpca,4,toxic-chat,lda,0.7619909729017178,0.6181318681318682,0.14385910476984964
rawpca,4,toxic-chat,qda,0.8024297061861274,0.5903361344537815,0.2120935717323459
rawpca,4,toxic-chat,power_single,0.6730138345292456,0.7082659987071751,-0.035252164177929535
rawpca,4,toxic-chat,power_multi,0.6392377249130246,0.4932530704589528,0.14598465445407177
rawpca,4,wildjailbreak,linear_probe,0.7880347246130273,0.5991216608594657,0.18891306375356154
rawpca,4,wildjailbreak,plain_voronoi,0.7386232299274639,0.5568742740998838,0.1817489558275801
rawpca,4,wildjailbreak,lda,0.7870451100710034,0.6039488966318234,0.18309621343918003
rawpca,4,wildjailbreak,qda,0.7863307772733428,0.5920441347270615,0.19428664254628125
rawpca,4,wildjailbreak,power_single,0.7386232299274639,0.5568742740998838,0.1817489558275801
rawpca,4,wildjailbreak,power_multi,0.674328155693716,0.6181765389082463,0.05615161678546965
rawpca,6,aegis-2.0,linear_probe,0.7563949275362318,0.5374675324675324,0.2189273950686994
rawpca,6,aegis-2.0,plain_voronoi,0.6833757763975157,0.4642857142857143,0.21909006211180138
rawpca,6,aegis-2.0,lda,0.7572437888198758,0.5375324675324675,0.21971132128740822
rawpca,6,aegis-2.0,qda,0.8128783643892341,0.5394805194805196,0.27339784490871455
rawpca,6,aegis-2.0,power_single,0.6833757763975157,0.4642857142857143,0.21909006211180138
rawpca,6,aegis-2.0,power_multi,0.6870129399585923,0.6012337662337661,0.08577917372482613
rawpca,6,toxic-chat,linear_probe,0.7426277281746032,0.6114253393665159,0.13120238880808732
rawpca,6,toxic-chat,plain_voronoi,0.6373359867634267,0.7147301228183581,-0.0773941360549314
rawpca,6,toxic-chat,lda,0.7446343634485759,0.6160310277957337,0.1286033356528422
rawpca,6,toxic-chat,qda,0.7863498688573604,0.6054056237879768,0.18094424506938356
rawpca,6,toxic-chat,power_single,0.6373359867634267,0.7147301228183581,-0.0773941360549314
rawpca,6,toxic-chat,power_multi,0.6862217839475974,0.4469537815126051,0.23926800243499224
rawpca,6,wildjailbreak,linear_probe,0.7850041535478486,0.6013719512195121,0.18363220232833644
rawpca,6,wildjailbreak,plain_voronoi,0.7262190722498927,0.561048199767712,0.16517087248218065
rawpca,6,wildjailbreak,lda,0.7825002313041705,0.6043481416957026,0.17815208960846785
rawpca,6,wildjailbreak,qda,0.7855400247545099,0.5938951800232287,0.19164484473128118
