space,layer,detector,auc,auc_std
rawpca,14,qda,0.7849,0.03156181236874708
rawpca,14,power_single,0.6539799999999999,0.03770169226971116
rawpca,14,power_multi,0.71926,0.05524540161859625
rawpca,16,linear_probe,0.76934,0.03247729052738236
rawpca,16,plain_voronoi,0.65234,0.040308291950912525
rawpca,16,lda,0.7688200000000001,0.034321911368686904
rawpca,16,qda,0.7802999999999999,0.04096330064826318
rawpca,16,power_single,0.65234,0.040308291950912525
rawpca,16,power_multi,0.7117600000000001,0.021830858892860808
rawpca,18,linear_probe,0.78432,0.044897545589931795
rawpca,18,plain_voronoi,0.65998,0.04324943467838628
rawpca,18,lda,0.78244,0.046909896610416855
rawpca,18,qda,0.78132,0.05304384601440585
rawpca,18,power_single,0.65998,0.04324943467838628
rawpca,18,power_multi,0.72104,0.028811705954351233
rawpca,20,linear_probe,0.8673,0.02910450137006296
rawpca,20,plain_voronoi,0.70472,0.043112336981425636
rawpca,20,lda,0.8655800000000001,0.028466429351079504
rawpca,20,qda,0.8593399999999999,0.03886142560431879
rawpca,20,power_single,0.70472,0.043112336981425636
rawpca,20,power_multi,0.78402,0.024520962460719185
rawpca,22,linear_probe,0.86602,0.023757558797149157
rawpca,22,plain_voronoi,0.7627400000000001,0.05303137184723771
rawpca,22,lda,0.8608399999999999,0.02539736994257479
rawpca,22,qda,0.85206,0.03553942036668575
rawpca,22,power_single,0.7627400000000001,0.05303137184723771
rawpca,22,power_multi,0.79702,0.031250625593738084
rawpca,24,linear_probe,0.88056,0.028714637382352602
rawpca,24,plain_voronoi,0.8383799999999999,0.04233005551614599
rawpca,24,lda,0.8781000000000001,0.03021608842984143
rawpca,24,qda,0.85276,0.030619183529284357
rawpca,24,power_single,0.8383799999999999,0.04233005551614599
rawpca,24,power_multi,0.78422,0.02043667291904435
rawpca,26,linear_probe,0.8795400000000001,0.023696717072202216
rawpca,26,plain_voronoi,0.8499399999999999,0.03929888548037969
rawpca,26,lda,0.8792199999999999,0.024655579490249286
rawpca,26,qda,0.8519599999999998,0.031966957940974025
rawpca,26,power_single,0.8499399999999999,0.03929888548037969
rawpca,26,power_multi,0.8089000000000001,0.031098295773241316
rawpca,28,linear_probe,0.86696,0.026291641257251343
rawpca,28,plain_voronoi,0.8449,0.04113524036638173
rawpca,28,lda,0.8687600000000002,0.02692156013309781
rawpca,28,qda,0.8577,0.030003133169720753
rawpca,28,power_single,0.8449,0.04113524036638173
rawpca,28,power_multi,0.82354,0.03821353686849724
rawpca,30,linear_probe,0.85664,0.031620537629837964
rawpca,30,plain_voronoi,0.84914,0.028347458439867232
rawpca,30,lda,0.8565400000000001,0.031511559783673086
rawpca,30,qda,0.8525599999999999,0.030121394390034487
rawpca,30,power_single,0.84914,0.028347458439867232
rawpca,30,power_multi,0.8232600000000001,0.028697985992051762
rawpca,32,linear_probe,0.8569799999999999,0.03018763985474846
rawpca,32,plain_voronoi,0.8398599999999998,0.022839229409067217
rawpca,32,lda,0.8558599999999998,0.030930670862430402
rawpca,32,qda,0.8396399999999999,0.024274398035790675
rawpca,32,power_single,0.8398599999999998,0.022839229409067217
rawpca,32,power_multi,0.8220200000000002,0.02122285560427719
rawpca,34,linear_probe,0.84642,0.029517140782941688
rawpca,34,plain_voronoi,0.8325400000000001,0.02493155430373324
rawpca,34,lda,0.8443999999999999,0.03125751109733467
rawpca,34,qda,0.83856,0.025579022655293143
rawpca,34,power_single,0.8325400000000001,0.02493155430373324
rawpca,34,power_multi,0.79818,0.04466844076078772
rawpca,36,linear_probe,0.8455999999999999,0.029428421636234575
rawpca,36,plain_voronoi,0.8327,0.02847714873367769
rawpca,36,lda,0.8422599999999999,0.03089301539183254
rawpca,36,qda,0.8384,0.025024388104407252
rawpca,36,power_single,0.8327,0.02847714873367769
rawpca,36,power_multi,0.7967,0.025473358632108194
