space,layer,held_out,detector,indist_auc,ood_auc,auc_drop
pns,2,aegis-2.0,linear_probe,0.7546356107660456,0.4742207792207792,0.28041483154526636
pns,2,aegis-2.0,plain_voronoi,0.6661304347826087,0.6200649350649351,0.0460654997176736
pns,2,aegis-2.0,lda,0.7512872670807453,0.47370129870129873,0.2775859683794466
pns,2,aegis-2.0,qda,0.7723530020703933,0.5247402597402597,0.24761274233013353
pns,2,aegis-2.0,power_single,0.6661304347826087,0.6200649350649351,0.0460654997176736
pns,2,aegis-2.0,power_multi,0.6069363354037268,0.685064935064935,-0.07812859966120822
pns,2,toxic-chat,linear_probe,0.6603879579799956,0.7612314156431803,-0.1008434576631847
pns,2,toxic-chat,plain_voronoi,0.6232438437703849,0.679541047188106,-0.05629720341772115
pns,2,toxic-chat,lda,0.6597775161719939,0.7498383968972204,-0.09006088072522656
pns,2,toxic-chat,qda,0.7483018557023267,0.6603102779573368,0.08799157774498989
pns,2,toxic-chat,power_single,0.6232438437703849,0.679541047188106,-0.05629720341772115
pns,2,toxic-chat,power_multi,0.6431421912372255,0.46161926308985135,0.18152292814737414
pns,2,wildjailbreak,linear_probe,0.7455240558322603,0.6681184668989547,0.07740558893330562
pns,2,wildjailbreak,plain_voronoi,0.6969341277489954,0.6790432636469222,0.01789086410207319
pns,2,wildjailbreak,lda,0.7442799570667693,0.6708405923344948,0.07343936473227453
pns,2,wildjailbreak,qda,0.7338849391799085,0.7081155632984901,0.025769375881418366
pns,2,wildjailbreak,power_single,0.6969341277489954,0.6790432636469222,0.01789086410207319
pns,2,wildjailbreak,power_multi,0.6005488659345145,0.5575638792102207,0.04298498672429385
pns,4,aegis-2.0,linear_probe,0.7789135610766047,0.5274025974025974,0.25151096367400727
pns,4,aegis-2.0,plain_voronoi,0.6403297101449275,0.39201298701298704,0.24831672313194042
pns,4,aegis-2.0,lda,0.779129917184265,0.5153246753246753,0.26380524185958976
pns,4,aegis-2.0,qda,0.7880465838509317,0.532012987012987,0.2560335968379447
pns,4,aegis-2.0,power_single,0.6403297101449275,0.39201298701298704,0.24831672313194042
pns,4,aegis-2.0,power_multi,0.6956180124223603,0.6087662337662338,0.08685177865612648
