layer,class_label,n,trace_cov,log_generalized_variance,mean_norm,well_conditioned
2,Refusal,500,2.0039910032691592,-26.34629968702151,0.46310167074225106,True
2,Jailbreak,500,3.270455636077071,-25.535978818037687,0.9312517720829868,True
2,Benign,500,3.518510497420018,-24.758759485641153,0.2979144379497304,True
4,Refusal,500,2.055153803331257,-24.292329488632816,0.34328367337758514,True
4,Jailbreak,500,3.198651036845785,-24.759190321556677,0.8844573459608611,True
4,Benign,500,3.637030838671501,-23.273658273691918,0.21722007622559164,True
6,Refusal,500,2.5861325988894475,-23.03111276747327,0.27496835737217407,True
6,Jailbreak,500,4.637317220381654,-23.18984935138338,0.42849481330169126,True
6,Benign,500,4.070426636031225,-21.935810451181947,0.20288357831141413,True
8,Refusal,500,2.5114580455675948,-21.393110277404695,0.30715267940009994,True
8,Jailbreak,500,4.567686413868826,-21.716970925301712,0.4319094409277177,True
8,Benign,500,4.282642460658678,-21.141856801782634,0.29413558189801264,True
10,Refusal,500,2.527371842484665,-21.096959510814457,0.3677499624456989,True
10,Jailbreak,500,4.770815945870867,-20.36580687445696,0.45487260974964827,True
10,Benign,500,4.158873168436576,-20.381541129964965,0.3275037696499829,True
12,Refusal,500,4.130360750352798,-21.388582501080688,0.8530363762771473,True
12,Jailbreak,500,3.287251675288184,-20.107529637207424,0.7614074016555413,True
12,Benign,500,1.969608041617778,-21.199270259642194,0.405566876593124,True
14,Refusal,500,5.526135766769635,-21.48430106992507,0.9312082885497411,True
14,Jailbreak,500,2.930073684519431,-19.527240780363396,0.2839393892995039,True
14,Benign,500,1.6297549349474192,-21.5673670108896,0.22199912680597506,True
16,Refusal,500,5.123175712457864,-21.869398788675646,1.1371105470559766,True
16,Jailbreak,500,2.818699890777391,-18.406306451366856,0.34397695688664465,True
16,Benign,500,1.6475242098896055,-21.437476012766552,0.15253271316804864,True
18,Refusal,500,4.908472154524735,-22.824433963517333,1.3463523629755543,True
18,Jailbreak,500,2.710256200152653,-18.65665287359752,0.3699438337595078,True
18,Benign,500,1.6424136921544998,-21.45250919389481,0.1818813626424088,True
20,Refusal,500,3.6164419288186993,-23.586675207065877,1.6520303232485543,True
20,Jailbreak,500,2.708202746115217,-18.52076864026651,0.45361992349855523,True
20,Benign,500,1.6494925526542554,-21.449283252493974,0.16916049526462484,True
22,Refusal,500,4.429593975988077,-23.985972702619343,1.6298843022536953,True
22,Jailbreak,500,2.6805155076285176,-18.569165155369255,0.26252141401401585,True
22,Benign,500,1.9844919148157065,-20.949190698151217,0.32618848642796533,True
24,Refusal,500,4.750557921204745,-24.303361960558195,1.5519133938022345,True
24,Jailbreak,500,2.6374409607367175,-18.40401343212839,0.2826457735853302,True
24,Benign,500,1.7278771021055028,-20.948201454714813,0.2416619022238754,True
26,Refusal,500,6.7502869380130175,-23.698569352204075,0.9825020444961317,True
26,Jailbreak,500,2.7053514392965106,-18.47420122841182,0.17325042657529108,True
26,Benign,500,2.03909678970932,-20.611569405422358,0.4102162669933364,True
28,Refusal,500,3.1500776291546226,-24.74659964288863,1.91642329530026,True
28,Jailbreak,500,2.7015425701546687,-18.31465816386218,0.2706775307859326,True
28,Benign,500,1.6470304062698755,-21.212025419512745,0.663427999779856,True
30,Refusal,500,5.413848459114369,-24.166576977087498,1.4292481484845396,True
30,Jailbreak,500,2.8881712049237667,-17.862795568062435,0.2873186895694629,True
30,Benign,500,1.707938484539104,-20.87892614105992,0.24409663863303702,True
32,Refusal,500,4.038558937226322,-24.140302013279946,1.6560178323488663,True
32,Jailbreak,500,2.813113748497193,-17.714667189221867,0.471403829622772,True
32,Benign,500,1.5336155720847313,-20.303287671592663,0.19015732642627406,True
