model,layer,frame,delta,null_mean,null_sd,null_lo,null_hi,z_vs_null,p_two_sided,p_floor,draws,delta_lo,delta_hi,delta_se,sign_stability,p_holm
Qwen2.5-3B-Instruct,22,pns,-0.8233013719739337,-0.00026902936405294025,0.05291085170771309,-0.10565935207967443,0.10080331571280894,-15.555076436048052,9.999000099990002e-05,9.999000099990002e-05,10000,-0.9465127135797538,-0.7041410231574571,0.06163960120134694,1.0,0.0017998200179982003
Qwen2.5-3B-Instruct,24,pns,1.2945788451667994,-0.0003330344535931615,0.053504752564257595,-0.10205578666479165,0.10340114181352936,24.201810447870823,9.999000099990002e-05,9.999000099990002e-05,10000,1.2079472636518986,1.3748327108532705,0.043025423565298405,1.0,0.0017998200179982003
Qwen2.5-3B-Instruct,26,pns,1.1464678388307021,-0.00039639511451609167,0.05088058108681035,-0.09934830877090679,0.098710125383712,22.54031320885439,9.999000099990002e-05,9.999000099990002e-05,10000,1.0289391035233075,1.2517814310442839,0.056861198883613955,1.0,0.0017998200179982003
Qwen2.5-3B-Instruct,28,pns,0.7243699587606499,-0.0001180718043948219,0.04548993062689541,-0.08947889825214785,0.08722933236397193,15.926338435361327,9.999000099990002e-05,9.999000099990002e-05,10000,0.5683934239517959,0.8590896067950187,0.0747905978702416,1.0,0.0017998200179982003
Qwen2.5-3B-Instruct,30,pns,1.0024475744839012,-0.0004735575499222809,0.047718367450454095,-0.09455409994487314,0.09250197342694522,21.017507211979847,9.999000099990002e-05,9.999000099990002e-05,10000,0.8652621091559534,1.1214368908789334,0.06575506359762363,1.0,0.0017998200179982003
Qwen2.5-3B-Instruct,32,pns,1.3745824921008492,-0.0005485797103558381,0.05087565403641536,-0.09904206330951451,0.10087316578406444,27.02925589569669,9.999000099990002e-05,9.999000099990002e-05,10000,1.2691595546291823,1.4737968245518045,0.05177688566643924,1.0,0.0017998200179982003
Qwen2.5-3B-Instruct,34,pns,1.50775035819018,-0.0003125780455065244,0.050074706103347376,-0.09834448657224718,0.09832132032983336,30.116261354050685,9.999000099990002e-05,9.999000099990002e-05,10000,1.4206970469836238,1.592838796563449,0.04397961013327138,1.0,0.0017998200179982003
Qwen2.5-3B-Instruct,36,pns,0.6035151132956645,0.0001877423297949296,0.04666202094527893,-0.09236938685239442,0.08995694382800017,12.929730833420146,9.999000099990002e-05,9.999000099990002e-05,10000,0.4278763904036724,0.759368026831045,0.08444895804470139,1.0,0.0017998200179982003
Llama-3.1-8B-Instruct,2,pns,-0.5628970520870927,0.0008057914190812524,0.05815179384693987,-0.11180267306211708,0.11685906460988932,-9.693644962868806,9.999000099990002e-05,9.999000099990002e-05,10000,-0.6804666156969951,-0.4499993093108005,0.05868113692843773,1.0,0.0015998400159984002
Llama-3.1-8B-Instruct,4,pns,-0.5708169565019526,0.000865894350766353,0.055278540018601593,-0.10695179062205151,0.11017175691459144,-10.34185871516042,9.999000099990002e-05,9.999000099990002e-05,10000,-0.6803897975347799,-0.46519196480592384,0.05474598882960166,1.0,0.0015998400159984002
Llama-3.1-8B-Instruct,6,pns,-0.45358426383073386,0.0009117488870778296,0.06318025099178051,-0.12357515597212808,0.12550471195764032,-7.193640506064779,9.999000099990002e-05,9.999000099990002e-05,10000,-0.5803682645207839,-0.32689327041264554,0.06481554617347504,1.0,0.0015998400159984002
Llama-3.1-8B-Instruct,8,pns,-0.5337067372943802,0.0007551385143738956,0.056636271100286156,-0.11101760004781301,0.11179664171926287,-9.436741957505987,9.999000099990002e-05,9.999000099990002e-05,10000,-0.6492168443574456,-0.41926531870902484,0.05881150953376978,1.0,0.0015998400159984002
Llama-3.1-8B-Instruct,10,pns,-0.4980641992299518,0.0005857383689397756,0.054879741699832375,-0.10674863541969562,0.10907826041828476,-9.08622967517383,9.999000099990002e-05,9.999000099990002e-05,10000,-0.614837122319935,-0.38146819535470383,0.05883529129302319,1.0,0.0015998400159984002
Llama-3.1-8B-Instruct,12,pns,0.7405301926037569,-9.316104375575427e-05,0.04643658105802542,-0.09148801830171162,0.09163313278196089,15.94913615027035,9.999000099990002e-05,9.999000099990002e-05,10000,0.6336464983081832,0.8373493774971646,0.051549511597650886,1.0,0.0015998400159984002
