model,frame,layer,pair,dims,d_mean,d_disp,d_bhattacharyya,rho,error_upper,error_lower,log_trace_ratio,n_a,n_b,rho_lo,rho_hi,rho_se,d_bhattacharyya_lo,d_bhattacharyya_hi,d_bhattacharyya_se,draws_used,err_logistic,err_lda,err_qda,err_best,best_detector,below_floor,above_ceiling,log_trace_R_over_B
Qwen2.5-3B-Instruct,pns,34,Jailbreak_vs_Benign,9,0.11380677496115757,0.3643997185235488,0.47820649348470634,0.7620133216263044,0.3099470898278853,0.10765729074287012,0.7301250185883,500,500,0.7054793705006975,0.8189245455819304,0.029346392380432306,0.404130898952928,0.6553830231228555,0.06437919725935579,600,0.32099999999999995,0.32499999999999996,0.2550000000000001,0.2550000000000001,err_qda,False,False,1.50775035819018
Qwen2.5-3B-Instruct,pns,34,Jailbreak_vs_Refusal,9,0.10506318696840528,0.5052290680441587,0.610292255012564,0.827847746541954,0.27159604763089157,0.08019577549615048,-0.7776253396018802,500,500,0.7745745150569157,0.8722568671860059,0.025423046190336265,0.5298218702863179,0.7818881130535902,0.06274349524785633,600,0.30800000000000005,0.30800000000000005,0.21199999999999997,0.21199999999999997,err_qda,False,False,1.50775035819018
Qwen2.5-3B-Instruct,pns,36,Jailbreak_vs_Benign,9,0.14411229158495295,0.21715175025528843,0.3612640418402414,0.6010887470259704,0.3483974955716966,0.14136483011370782,0.49029973187773884,500,500,0.5414676201439823,0.6848399164741377,0.03611554131349774,0.32198407342375124,0.4773099398073065,0.03914452941872657,600,0.29899999999999993,0.30299999999999994,0.255,0.255,err_qda,False,False,0.6035151132956649
Qwen2.5-3B-Instruct,pns,36,Jailbreak_vs_Refusal,9,0.23722822037434593,0.3918068889822752,0.6290351093566211,0.6228696668187829,0.26655297092869384,0.076975752835506,-0.1132153814179259,500,500,0.5703220530455242,0.6887850333287556,0.030681282797688485,0.5567512526509694,0.7781989246747881,0.05495530194982654,600,0.21999999999999997,0.22499999999999998,0.19399999999999995,0.19399999999999995,err_qda,False,False,0.6035151132956649
Llama-3.1-8B-Instruct,pns,2,Jailbreak_vs_Benign,9,0.11286031065491874,0.18579749900023934,0.2986578096551581,0.6221082891311911,0.37090660366308165,0.1646967173451508,-0.07310843246062797,500,500,0.575435124258197,0.7084241201243392,0.03367986106126835,0.27238104279880987,0.40465707099150783,0.033948683490105026,600,0.33100000000000007,0.32999999999999996,0.30700000000000016,0.30700000000000016,err_qda,False,False,-0.562897052087093
Llama-3.1-8B-Instruct,pns,2,Jailbreak_vs_Refusal,9,0.03099410185723861,0.1404971672759565,0.17149126913319512,0.8192671731109187,0.421203811468334,0.23057960506942293,0.4897886196264649,500,500,0.7318266576019077,0.8920319405173227,0.040745272139249694,0.14252197129323638,0.28524329387169145,0.03831101679109381,600,0.405,0.4019999999999999,0.359,0.359,err_qda,False,False,-0.562897052087093
Llama-3.1-8B-Instruct,pns,4,Jailbreak_vs_Benign,9,0.12542676103324402,0.2457948483657404,0.3712216093989844,0.6621243002628199,0.3449455191393275,0.13804338820004985,-0.12843847517732207,500,500,0.6123404615482814,0.7384383498014909,0.031553680277759025,0.3180991623528542,0.5037923496806688,0.04715235627719067,600,0.31699999999999995,0.31699999999999995,0.30499999999999994,0.30499999999999994,err_qda,False,False,-0.5708169565019527
Llama-3.1-8B-Instruct,pns,4,Jailbreak_vs_Refusal,9,0.041544096703318635,0.13041654332687358,0.1719606400301922,0.7584092691442387,0.4210061570477716,0.2302708474638549,0.4423784813246308,500,500,0.6795396759828063,0.8426940842797414,0.043892075863380266,0.14904799243914474,0.2795939725828738,0.03427035241634684,600,0.363,0.3699999999999999,0.361,0.361,err_qda,False,False,-0.5708169565019527
Llama-3.1-8B-Instruct,pns,6,Jailbreak_vs_Benign,9,0.1423493527523106,0.2186065745590522,0.3609559273113628,0.6056323169074346,0.34850485844108775,0.14146915942563965,0.13038819522354467,500,500,0.5465604999600092,0.6892091136848776,0.035022872854690634,0.31218405417397366,0.48529515370217136,0.04417608232733108,600,0.29699999999999993,0.30300000000000005,0.29100000000000004,0.29100000000000004,err_qda,False,False,-0.45358426383073386
Llama-3.1-8B-Instruct,pns,6,Jailbreak_vs_Refusal,9,0.05079397544109894,0.154331710447142,0.20512568588824093,0.7523763285853283,0.40727246658702354,0.2099497664884205,0.5839724590542786,500,500,0.6751014860974255,0.8457981595240844,0.0427368404640565,0.17730147601048574,0.30155218904132775,0.030997365502575397,600,0.382,0.375,0.32099999999999995,0.32099999999999995,err_qda,False,False,-0.45358426383073386
