model,layer,frame,pair,rho_before,rho_after,rho_delta,d_b_before,d_b_after,d_b_retained,d_mean_before,d_mean_after,d_disp_before,d_disp_after,delta_before,delta_after,frame_variance_removed
Qwen2.5-3B-Instruct,20,pns,Jailbreak_vs_Refusal,0.509422525300357,0.8333462779545692,0.32392375265421214,0.27895172179746797,0.12410311602692434,0.44489101994871005,0.13684743124251922,0.020682246203322895,0.14210429055494878,0.10342086982360144,-0.5849564656432491,-0.5153751145680799,0.44357778429842176
Qwen2.5-3B-Instruct,22,pns,Jailbreak_vs_Benign,0.587218609047843,0.6485375702515083,0.06131896120366531,0.36602359973077253,0.23457277142532923,0.6408678882942752,0.15108773061818387,0.08244351619798378,0.21493586911258866,0.15212925522734544,-0.8233013719739337,-0.8235663237083182,0.3456494133349989
Qwen2.5-3B-Instruct,22,pns,Jailbreak_vs_Refusal,0.40576418342292697,0.8301101063894993,0.42434592296657236,0.35092963362420515,0.1464710524166468,0.4173801194956824,0.20853495739777259,0.024883951512082204,0.14239467622643254,0.1215871009045646,-0.8233013719739337,-0.8235663237083182,0.3456494133349989
Qwen2.5-3B-Instruct,24,pns,Jailbreak_vs_Benign,0.8737631922315967,0.834563896288896,-0.03919929594270066,0.385317551442562,0.26837713083927833,0.6965089698990377,0.04864125767124654,0.04439926685121537,0.33667629377131547,0.22397786398806296,1.2945788451667994,0.006944058681121795,0.7841607279358911
Qwen2.5-3B-Instruct,24,pns,Jailbreak_vs_Refusal,0.6978021224410107,0.9413778411445038,0.24357571870349315,0.31903904207785716,0.2014813657926153,0.6315257357857992,0.09641292137438154,0.01181127263191704,0.22262612070347565,0.18967009316069827,1.2945788451667994,0.006944058681121795,0.7841607279358911
Qwen2.5-3B-Instruct,26,pns,Jailbreak_vs_Benign,0.8159983345550038,0.7439371270716982,-0.07206120748330558,0.4763683004049174,0.2888110513185621,0.6062768053060418,0.08765256063970703,0.0739537875340742,0.38871573976521034,0.21485726378448788,1.1464678388307021,-0.2568701242563709,0.8099396064625939
Qwen2.5-3B-Instruct,26,pns,Jailbreak_vs_Refusal,0.602788794930853,0.9088898705516192,0.30610107562076616,0.41454059266459387,0.22881086854999733,0.5519625160933973,0.16466016836238173,0.020846987852786703,0.24988042430221213,0.2079638806972106,1.1464678388307021,-0.2568701242563709,0.8099396064625939
Qwen2.5-3B-Instruct,28,pns,Jailbreak_vs_Benign,0.753925078450592,0.636219196426397,-0.11770588202419496,0.39076429368554333,0.24944933430472208,0.6383626609074459,0.09615729291297992,0.09074487928427213,0.2946070007725634,0.15870445502044994,0.7243699587606499,-0.4907503774045005,0.7951797229737081
Qwen2.5-3B-Instruct,28,pns,Jailbreak_vs_Refusal,0.5689664196969304,0.8722810902528678,0.3033146705559374,0.5383397113130812,0.25796433971936084,0.47918504672477524,0.23204249318659836,0.03294692422259562,0.3062972181264829,0.22501741549676524,0.7243699587606499,-0.4907503774045005,0.7951797229737081
Qwen2.5-3B-Instruct,30,pns,Jailbreak_vs_Benign,0.7991852531751648,0.6732615471725961,-0.12592370600256864,0.38641657139202235,0.22061671131600652,0.57092973658262,0.07759814595300982,0.07208396292326197,0.3088184254390125,0.14853274839274455,1.0024475744839012,-0.5388497301559042,0.7948364346916144
